year,name,driverRef,statusId,position,Did not finish,Podium,Pos 4 to 10,Accident / Collision,Finished,SC,Dry,Wet,pitStop timing prop(driver),pitStop timing prop(race),Medium,Soft,Super Soft,Ultra soft,Hard,clusters
2017,Hungarian Grand Prix,hamilton,1.0,4.0,0.0,0.67,0.33,0.0,1.0,0.67,0.67,0.0,0.05898933246587174,0.07106364999420446,1.0,3.0,9.0,0.0,0.0,10.0
2017,Italian Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.05898933246587174,0.06957415861834307,1.0,3.0,9.0,0.0,0.0,4.0
2017,Japanese Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.33,0.05898933246587174,0.07779963880694118,1.0,5.0,7.0,0.0,0.0,7.0
2017,Malaysian Grand Prix,hamilton,1.0,1.0,0.33,0.67,0.0,0.0,0.67,0.67,1.0,0.0,0.05898933246587174,0.06621050151992731,1.0,5.0,7.0,0.0,0.0,3.0
2017,Mexican Grand Prix,hamilton,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.05898933246587174,0.06451192198828179,0.0,1.0,3.0,9.0,0.0,3.0
2017,Monaco Grand Prix,hamilton,1.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0,0.67,0.0,0.05898933246587174,0.0629605118023384,0.0,1.0,3.0,9.0,0.0,14.0
2017,Russian Grand Prix,hamilton,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.67,1.0,0.0,0.05898933246587174,0.0037445923865289197,0.0,1.0,4.0,8.0,0.0,14.0
2017,Singapore Grand Prix,hamilton,1.0,5.0,0.33,0.67,0.0,0.0,0.67,1.0,1.0,0.0,0.05898933246587174,0.03881606449128239,0.0,2.0,2.0,9.0,0.0,1.0
2017,Spanish Grand Prix,hamilton,1.0,1.0,0.33,0.67,0.0,0.33,0.67,0.33,1.0,0.0,0.05898933246587174,0.06467270150721452,1.0,5.0,7.0,0.0,0.0,3.0
2017,United States Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.67,0.67,0.0,0.05898933246587174,0.06994686797758061,0.0,3.0,3.0,7.0,0.0,7.0
2015,Abu Dhabi Grand Prix,hamilton,1.0,2.0,0.33,0.33,0.33,0.0,0.67,0.33,1.0,0.0,0.06983486709616293,0.0679736641809073,1.0,4.0,5.0,0.0,0.0,7.0
2015,Australian Grand Prix,hamilton,1.0,1.0,0.33,0.33,0.33,0.0,0.67,0.67,1.0,0.0,0.06983486709616293,0.06951697336869304,1.0,4.0,5.0,0.0,0.0,6.0
2015,Austrian Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06983486709616293,0.07940014952966216,1.0,4.0,5.0,0.0,0.0,2.0
2015,Bahrain Grand Prix,hamilton,1.0,1.0,0.0,0.33,0.67,0.0,1.0,0.33,1.0,0.0,0.06983486709616293,0.08539986718208016,1.0,4.0,5.0,0.0,0.0,13.0
2015,Belgian Grand Prix,hamilton,1.0,1.0,0.67,0.33,0.0,0.33,0.33,0.33,1.0,0.0,0.06983486709616293,0.07915638046572526,1.0,4.0,5.0,0.0,0.0,4.0
2015,Brazilian Grand Prix,hamilton,1.0,2.0,0.33,0.33,0.33,0.33,0.67,0.33,0.67,0.0,0.06983486709616293,0.06912697655942288,1.0,4.0,5.0,0.0,0.0,2.0
2015,British Grand Prix,hamilton,1.0,1.0,0.0,0.33,0.33,0.0,1.0,0.67,1.0,0.0,0.06983486709616293,0.043597094717505856,1.0,4.0,5.0,0.0,0.0,6.0
2015,Canadian Grand Prix,hamilton,1.0,1.0,0.33,0.67,0.0,0.0,0.67,0.33,1.0,0.0,0.06983486709616293,0.0691633650306118,1.0,4.0,5.0,0.0,0.0,2.0
2015,Chinese Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06983486709616293,0.08271251119872047,1.0,4.0,5.0,0.0,0.0,13.0
2015,Hungarian Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.33,0.67,0.0,0.06983486709616293,0.07692607041910422,1.0,4.0,5.0,0.0,0.0,8.0
2015,Italian Grand Prix,hamilton,1.0,1.0,0.0,0.67,0.33,0.0,1.0,0.0,1.0,0.0,0.06983486709616293,0.08929932987934863,1.0,4.0,5.0,0.0,0.0,6.0
2015,Japanese Grand Prix,hamilton,1.0,2.0,0.33,0.33,0.33,0.0,0.67,0.67,0.67,0.33,0.06983486709616293,0.08831650422695894,1.0,4.0,5.0,0.0,0.0,1.0
2015,Malaysian Grand Prix,hamilton,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.33,0.33,0.0,0.06983486709616293,0.0768821010164176,1.0,4.0,5.0,0.0,0.0,4.0
2015,Mexican Grand Prix,hamilton,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.06983486709616293,0.06912697655942288,1.0,4.0,5.0,0.0,0.0,3.0
2015,Monaco Grand Prix,hamilton,1.0,1.0,0.0,0.33,0.33,0.0,1.0,1.0,1.0,0.0,0.06983486709616293,0.06451035774247273,1.0,4.0,5.0,0.0,0.0,1.0
2015,Russian Grand Prix,hamilton,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.06983486709616293,0.0,1.0,4.0,5.0,0.0,0.0,1.0
2015,Singapore Grand Prix,hamilton,0.0,5.0,0.33,0.33,0.33,0.0,0.67,1.0,1.0,0.0,0.06983486709616293,0.04391532537526453,1.0,4.0,5.0,0.0,0.0,1.0
2015,Spanish Grand Prix,hamilton,1.0,2.0,0.0,0.33,0.33,0.0,1.0,0.0,1.0,0.0,0.06983486709616293,0.08456849169449991,1.0,4.0,5.0,0.0,0.0,1.0
2015,United States Grand Prix,hamilton,1.0,2.0,0.0,0.67,0.0,0.0,1.0,0.67,1.0,0.0,0.06983486709616293,0.06187589981445249,1.0,4.0,5.0,0.0,0.0,9.0
2016,Abu Dhabi Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.0,1.0,0.0,0.057475150227266666,0.06989164110803796,0.0,4.0,2.0,7.0,0.0,2.0
2016,Australian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.67,1.0,0.0,0.057475150227266666,0.0474107802193351,2.0,5.0,6.0,0.0,0.0,6.0
2016,Austrian Grand Prix,rosberg,1.0,2.0,0.0,0.0,0.33,0.0,1.0,0.5,1.0,0.0,0.057475150227266666,0.06551006298518551,0.0,1.0,4.0,8.0,0.0,5.0
2016,Azerbaijan Grand Prix,rosberg,1.0,1.0,0.0,0.0,0.33,0.0,1.0,0.33,1.0,0.0,0.057475150227266666,0.06912697655942288,2.0,3.0,8.0,0.0,0.0,14.0
